es,en,de,fr,it
Gente,People,Menschen,personnes,Persone
humanidad,humanity,Menschheit,humanité,umanità
humano,human,menschlich,humain,umano
persona,person,Person,personne,persona
gente,people,Menschen,personnes,persone
hombre,man,Mann,homme,Uomo
mujer,women,Frauen,Femme,donne
bebé,baby,Baby,bébé,Bambino
"niño, niña",boy girl,Jungenmädchen,garçon Fille,ragazzo ragazza
adolescente,Teen,Teenager,Adolescent,Adolescente
"adulto, adulta","Adult, adult","Erwachsener, Erwachsener","Adulte, adulte","Adulto, adulto"
"anciano, anciana","Elder, old woman","Ältester, alte Frau","Elder, vieille femme","Anziana, vecchia"
"don, doña","Don, Doña","Don, Doña","Don, Doña","Don, Doña"
"señor, señora",Mr. Mrs,Herr Frau,Monsieur Madame,Signor signora
caballero,gentleman,Gentleman,gentleman,signore
dama,lady,Dame,Dame,signora
individuo,individual,Individuell,individu,individuale
Cuerpo humano y salud,Human body and health,Menschlicher Körper und Gesundheit,Corps humain et santé,Corpo umano e salute
cuerpo,body,Körper,corps,corpo
pierna,leg,Bein,jambe,gamba
pie,foot,Fuß,pied,piede
talón,heel,Hacke,talon,tacco
espinilla,shin,Schienbein,tibia,stinco
rodilla,knee,Knie,genou,ginocchio
muslo,thigh,Schenkel,cuisse,coscia
cabeza,head,Kopf,Tête,Testa
cara,expensive,teuer,visage,costoso
boca,mouth,Mund,bouche,bocca
labio,lip,Lippe,lèvre,labbro
diente,tooth,Zahn,dent,dente
ojo,eye,Auge,œil,occhio
nariz,nose,Nase,nez,naso
barba,beard,Bart,barbe,barba
bigote,moustache,Schnurrbart,moustache,baffi
cabello,hair,Haar,cheveux,capelli
oreja,ear,Ohr,oreille,orecchio
cerebro,brain,Gehirn,cerveau,cervello
estómago,stomach,Magen,estomac,stomaco
brazo,arm,Arm,bras,braccio
codo,elbow,Ellbogen,coude,gomito
hombro,shoulder,Schulter,épaule,spalla
uña,a,A,ongle,UN
mano,hand,Hand,main,mano
muñeca,doll,Puppe,poupée,bambola
palma,palm,Palme,palmier,palma
dedo,finger,Finger,doigt,dito
"trasero, culo, cola, glúteos","Rear, ass, tail, buttocks","Heck, Arsch, Schwanz, Gesäß","Arrière, cul, queue, fesses","Posteriore, culo, coda, glutei"
abdomen,abdomen,Abdomen,abdomen,addome
hígado,liver,Leber,foie,fegato
músculo,muscle,Muskel,muscle,muscolo
cuello,neck,Nacken,cou,collo
corazón,heart,Herz,coeur,cuore
mente,mind,Geist,esprit,mente
alma,soul,Seele,âme,anima
espíritu,spirit,Geist,esprit,spirito
pecho,chest,Brust,buste,Petto
cintura,waist,Taille,taille,Vita
cadera,hip,Hüfte,hanche,anca
espalda,back,zurück,dos,Indietro
sangre,blood,Blut,sang,sangue
carne,meat,Fleisch,viande,carne
piel,fur,Fell,fourrure,pelliccia
hueso,bone,Knochen,os,osso
resfriado,a cold,eine Erkältung,un froid,un raffreddore
gripe,flu,Grippe,grippe,influenza
diarrea,diarrhea,Durchfall,diarrhée,diarrea
salud,health,Gesundheit,santé,salute
enfermedad,disease,Krankheit,maladie,malattia
Familia y otras relaciones,Family and other relationships,Familie und andere Beziehungen,Famille et autres relations,Famiglia e altre relazioni
familia,family,Familie,famille,famiglia
"amigo, amiga",friend friend,Freund Freund,ami amie,amico amico
"conocido, conocida","known, known","bekannt, bekannt","connu, connu","noto, noto"
colega,colleague,Kollege,collègue,collega
pareja,couple,Paar,couple,coppia
"esposo, esposa",husband wife,Ehemann Ehefrau,mari épouse,marito moglie
matrimonio,marriage,Hochzeit,mariage,matrimonio
amor,love,Liebe,amour,Amore
padre,father,Vater,père,padre
madre,mother,Mutter,mère,madre
"hermano, hermana","Brother, sister",Bruder Schwester,frère soeur,Fratello sorella
"hijo, hija",son daughter,Sohn Tochter,fils fille,figlio figlia
"abuelo, abuela",Grandfather Grandmother,Großvater Großmutter,grand-père grand-mère,Nonno nonna
"bisabuelo, bisabuela",great-grandfather great-grandmother,Urgroßvater Urgroßmutter,arrière-grand-père arrière-grand-mère,bisnonno bisnonno
"nieto, nieta",grandson granddaughter,Enkel Enkelin,petite-fille de petite-fils,nipote nipote
"bisnieto, bisnieta","great -grandson, great -grandson","toll -Grandson, toll -Grandson","Grand-petit-fils, grand-petit-fils","Great -Grandson, Great -Grandson"
"primo, prima",cousin cousin,Cousin Cousin,cousin Cousine,cugino cugino
"tío, tía",uncle aunt,"Onkel, Tante",oncle tante,zio Zia
"sobrino, sobrina",nephew niece,Neffe Nichte,neveu nièce,nipote nipote
Vida,Life,Leben,Vie,Vita
criatura,creature,Kreatur,créature,creatura
especie,species,Spezies,espèces,specie
ser,be,Sei,être,Essere
vida,life,Leben,vie,vita
nacimiento,birth,Geburt,naissance,nascita
reproducción,reproduction,Reproduktion,la reproduction,riproduzione
muerte,death,Tod,décès,morte
Geografía,Geography,Erdkunde,Géographie,Geografia
naturaleza,nature,Natur,nature,natura
campo,field,Feld,Campagne,campo
bosque,forest,Wald,Forêt,foresta
"selva, jungla","jungle, jungle","Dschungel, Dschungel","jungle, jungle","giungla, giungla"
desierto,desert,Wüste,désert,deserto
costa,coast,Küste,côte,costa
playa,beach,Strand,plage,spiaggia
río,river,Fluss,rivière,fiume
"laguna, lago","Laguna, Lake","Laguna, See","Laguna, lac","Laguna, lago"
"mar, océano",sea ​​ocean,Meeres Ozean,mer océan,Oceano marino
"cerro, monte, montaña","Cerro, Monte, Mountain","Cerro, Monte, Berg","Cerro, Monte, montagne","Cerro, Monte, montagna"
luz,light,Licht,lumière,leggero
energía,energy,Energie,énergie,energia
Animales,Animals,Tiere,Les animaux,Animali
animal,animal,Tier,animal,animale
perro,dog,Hund,chien,cane
gato,cat,Katze,chat,gatto
vaca,cow,Kuh,vache,mucca
cerdo,pig,Schwein,cochon,maiale
"caballo, yegua",horse mare,Pferdestute,jument de chevaux,cavalle di cavallo
oveja,sheep,Schaf,Mouton,pecora
mono,bun,Brötchen,chignon,panino
"ratón, rata",mouse Rat,Maus Ratte,souris RAT,ratto di topo
tigre,tiger,Tiger,tigre,tigre
conejo,rabbit,Kaninchen,lapin,coniglio
dragón,dragon,Drachen,dragon,Drago
ciervo,deer,Reh,cerf,cervo
rana,frog,Frosch,grenouille,rana
león,lion,Löwe,lion,Leone
jirafa,giraffe,Giraffe,girafe,giraffa
elefante,elephant,Elefant,éléphant,elefante
pájaro,bird,Vogel,oiseau,uccello
gallina,hen,Henne,poule,gallina
gorrión,sparrow,Spatz,moineau,passero
cuervo,Raven,Rabe,Corbeau,Corvo
águila,eagle,Adler,aigle,aquila
halcón,hawk,Falke,faucon,falco
pez,fish,Fisch,Poisson,pescare
camarón,shrimp,Garnele,crevette,gamberetto
langosta,lobster,Hummer,langouste,aragosta
sardina,sardine,Sardine,sardine,sardina
atún,tuna,Thunfisch,thon,tonno
calamar,squid,Tintenfisch,calmar,calamaro
pulpo,octopus,Krake,pieuvre,polpo
insecto,insect,Insekt,insecte,insetto
bicho,bug,Insekt,bogue,insetto
mariposa,butterfly,Schmetterling,papillon,farfalla
polilla,moth,Motte,papillon,falena
saltamontes,grasshopper,Heuschrecke,sauterelle,cavalletta
araña,spider,Spinne,araignée,ragno
mosca,fly,Fliege,voler,volare
mosquito,mosquito,Moskito,moustique,zanzara
